A
         Date    Open    High     Low   Close     Cumulative Drop %             Recovery
0  2023-08-28  119.27  122.79  118.75  121.04  2024-01-08 / 0.02149  2024-03-04 00:00:00
1  2023-09-04  120.77  121.66  112.90  113.17  2024-03-25 / 0.00537  2024-05-06 00:00:00
2  2023-09-11  113.47  121.05  108.22  115.08                   NaN                  NaN
3  2023-09-18  114.18  114.18  108.33  110.61                   NaN                  NaN
4  2023-09-25  109.97  112.36  108.84  111.02                   NaN                  NaN
5  2023-10-02  110.11  111.44  107.99  109.85                   NaN                  NaN
6  2023-10-09  109.40  113.24  106.27  109.94                   NaN                  NaN
7  2023-10-16  110.47  112.33  107.98  108.67                   NaN                  NaN
8  2023-10-23  107.54  109.34   99.56  102.24                   NaN                  NaN
9  2023-10-30  102.18  109.03   96.30  108.46                   NaN                  NaN
10 2023-11-06  108.25  110.99  103.55  107.91                   NaN                  NaN
11 2023-11-13  107.57  113.93  106.41  112.57                   NaN                  NaN
12 2023-11-20  112.67  126.12  111.81  125.97                   NaN                  NaN
13 2023-11-27  125.33  128.35  123.46  128.13                   NaN                  NaN
14 2023-12-04  127.75  129.81  125.12  126.54                   NaN                  NaN
15 2023-12-11  126.96  138.18  126.35  136.08                   NaN                  NaN
16 2023-12-18  136.88  140.51  136.15  138.85                   NaN                  NaN
17 2023-12-25  138.59  140.08  137.65  138.31                   NaN                  NaN
18 2024-01-01  137.71  140.10  128.17  130.11                   NaN                  NaN
19 2024-01-08  129.69  135.18  127.46  130.09                   NaN                  NaN
20 2024-01-15  128.69  131.53  126.30  130.76                   NaN                  NaN
21 2024-01-22  131.04  133.76  128.98  130.54                   NaN                  NaN
22 2024-01-29  131.29  134.15  128.81  132.51                   NaN                  NaN
23 2024-02-05  132.28  136.43  130.62  132.88                   NaN                  NaN
24 2024-02-12  132.82  135.80  127.81  134.37                   NaN                  NaN
25 2024-02-19  133.21  134.98  128.56  131.57                   NaN                  NaN
26 2024-02-26  131.32  139.39  130.38  138.58                   NaN                  NaN
27 2024-03-04  138.67  151.05  138.33  147.36                   NaN                  NaN
28 2024-03-11  147.49  148.96  143.49  146.97                   NaN                  NaN
29 2024-03-18  147.37  149.62  144.97  146.94                   NaN                  NaN
30 2024-03-25  147.03  147.56  143.28  145.00                   NaN                  NaN
31 2024-04-01  145.67  145.99  140.64  143.62                   NaN                  NaN
32 2024-04-08  143.53  147.16  140.00  140.47                   NaN                  NaN
33 2024-04-15  142.05  142.98  128.10  132.48                   NaN                  NaN
34 2024-04-22  133.29  139.63  131.54  137.48                   NaN                  NaN
35 2024-04-29  138.00  140.69  135.88  139.19                   NaN                  NaN
36 2024-05-06  139.28  152.53  138.08  149.48                   NaN                  NaN
37 2024-05-13  149.25  155.06  146.91  153.94                   NaN                  NaN
38 2024-05-20  153.68  154.66  149.28  150.38                   NaN                  NaN
39 2024-05-27  150.54  150.91  125.07  130.17                   NaN                  NaN
40 2024-06-03  129.76  134.10  129.76  132.73                   NaN                  NaN
41 2024-06-10  132.62  133.60  129.00  129.61                   NaN                  NaN
42 2024-06-17  130.87  134.90  129.26  133.00                   NaN                  NaN
43 2024-06-24  135.05  137.45  128.15  129.39                   NaN                  NaN
44 2024-07-01  130.45  131.55  125.06  126.14                   NaN                  NaN
45 2024-07-08  126.68  133.40  124.16  132.23                   NaN                  NaN
46 2024-07-15  132.01  136.19  130.29  131.78                   NaN                  NaN
47 2024-07-22  133.06  140.29  130.18  137.32                   NaN                  NaN
48 2024-07-29  137.59  144.22  135.62  139.04                   NaN                  NaN
49 2024-08-05  136.55  138.92  133.06  136.90                   NaN                  NaN
50 2024-08-12  136.81  140.90  134.48  140.04                   NaN                  NaN
51 2024-08-19  140.55  145.45  138.15  140.87                   NaN                  NaN
52 2024-08-26  141.11  143.44  139.71  143.00                   NaN                  NaN

AAL
         Date   Open   High    Low  Close     Cumulative Drop %             Recovery
0  2023-08-28  14.74  14.99  14.59  14.68  2023-09-18 / 0.04217  2024-01-22 00:00:00
1  2023-09-04  14.53  14.75  13.91  13.98  2024-01-01 / 0.02091  2024-01-22 00:00:00
2  2023-09-11  14.02  14.29  13.15  13.31  2024-07-15 / 0.02257    NO RECOVERY FOUND
3  2023-09-18  13.24  13.47  12.86  12.90                   NaN                  NaN
4  2023-09-25  12.81  13.09  12.50  12.81                   NaN                  NaN
5  2023-10-02  12.84  13.10  12.25  12.76                   NaN                  NaN
6  2023-10-09  12.37  12.68  11.68  11.72                   NaN                  NaN
7  2023-10-16  11.82  12.10  11.04  11.08                   NaN                  NaN
8  2023-10-23  11.02  11.43  10.88  10.92                   NaN                  NaN
9  2023-10-30  11.01  12.08  10.86  11.98                   NaN                  NaN
10 2023-11-06  12.06  12.27  11.51  11.80                   NaN                  NaN
11 2023-11-13  11.70  12.72  11.62  12.29                   NaN                  NaN
12 2023-11-20  12.23  12.77  12.05  12.31                   NaN                  NaN
13 2023-11-27  12.25  13.06  11.95  13.02                   NaN                  NaN
14 2023-12-04  13.03  14.15  12.93  13.76                   NaN                  NaN
15 2023-12-11  13.76  14.67  13.61  14.49                   NaN                  NaN
16 2023-12-18  14.43  14.45  13.95  14.31                   NaN                  NaN
17 2023-12-25  14.25  14.26  13.69  13.74                   NaN                  NaN
18 2024-01-01  13.65  13.72  12.89  13.60                   NaN                  NaN
19 2024-01-08  14.03  14.67  13.19  13.21                   NaN                  NaN
20 2024-01-15  13.08  13.87  12.78  13.66                   NaN                  NaN
21 2024-01-22  13.96  15.84  13.54  15.13                   NaN                  NaN
22 2024-01-29  15.37  15.39  13.87  14.56                   NaN                  NaN
23 2024-02-05  14.36  15.18  14.11  14.88                   NaN                  NaN
24 2024-02-12  14.80  15.15  14.41  14.64                   NaN                  NaN
25 2024-02-19  14.50  15.29  14.49  15.13                   NaN                  NaN
26 2024-02-26  15.13  15.79  15.13  15.66                   NaN                  NaN
27 2024-03-04  15.70  16.15  14.29  14.68                   NaN                  NaN
28 2024-03-11  14.60  14.67  13.78  13.96                   NaN                  NaN
